Results for Memcached on port 11215:
4         Threads
1         Connections per thread
60        Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         5651.46          ---          ---         0.06533         0.06300         0.14300         0.21500       385.71 
Gets        56514.26       246.23     56268.03         0.06263         0.06300         0.14300         0.21500      1443.68 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      62165.72       246.23     56268.03         0.06287         0.06300         0.14300         0.21500      1829.39 


Request Latency Distribution
Type     <= msec         Percent
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         5607.82          ---          ---         0.06583         0.06300         0.14300         0.23100       382.73 
Gets        56077.86       242.50     55835.36         0.06311         0.06300         0.14300         0.22300      1432.42 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      61685.68       242.50     55835.36         0.06336         0.06300         0.14300         0.22300      1815.15 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.015        0.000
SET       0.039        5.000
SET       0.039       10.000
SET       0.047       15.000
SET       0.047       20.000
SET       0.055       25.000
SET       0.055       30.000
SET       0.055       35.000
SET       0.055       40.000
SET       0.063       45.000
SET       0.063       50.000
SET       0.071       52.500
SET       0.071       55.000
SET       0.071       57.500
SET       0.071       60.000
SET       0.071       62.500
SET       0.079       65.000
SET       0.079       67.500
SET       0.079       70.000
SET       0.079       72.500
SET       0.079       75.000
SET       0.079       76.250
SET       0.087       77.500
SET       0.087       78.750
SET       0.087       80.000
SET       0.087       81.250
SET       0.087       82.500
SET       0.087       83.750
SET       0.087       85.000
SET       0.095       86.250
SET       0.095       87.500
SET       0.095       88.125
SET       0.095       88.750
SET       0.095       89.375
SET       0.095       90.000
SET       0.103       90.625
SET       0.103       91.250
SET       0.103       91.875
SET       0.103       92.500
SET       0.103       93.125
SET       0.111       93.750
SET       0.111       94.062
SET       0.111       94.375
SET       0.111       94.688
SET       0.111       95.000
SET       0.111       95.312
SET       0.111       95.625
SET       0.119       95.938
SET       0.119       96.250
SET       0.119       96.562
SET       0.119       96.875
SET       0.119       97.031
SET       0.119       97.188
SET       0.119       97.344
SET       0.127       97.500
SET       0.127       97.656
SET       0.127       97.812
SET       0.127       97.969
SET       0.127       98.125
SET       0.135       98.281
SET       0.135       98.438
SET       0.135       98.516
SET       0.135       98.594
SET       0.135       98.672
SET       0.143       98.750
SET       0.143       98.828
SET       0.143       98.906
SET       0.143       98.984
SET       0.143       99.062
SET       0.151       99.141
SET       0.151       99.219
SET       0.151       99.258
SET       0.151       99.297
SET       0.151       99.336
SET       0.159       99.375
SET       0.159       99.414
SET       0.159       99.453
SET       0.159       99.492
SET       0.167       99.531
SET       0.167       99.570
SET       0.167       99.609
SET       0.175       99.629
SET       0.175       99.648
SET       0.175       99.668
SET       0.175       99.688
SET       0.183       99.707
SET       0.183       99.727
SET       0.183       99.746
SET       0.191       99.766
SET       0.191       99.785
SET       0.199       99.805
SET       0.199       99.814
SET       0.199       99.824
SET       0.207       99.834
SET       0.207       99.844
SET       0.215       99.854
SET       0.215       99.863
SET       0.223       99.873
SET       0.223       99.883
SET       0.231       99.893
SET       0.231       99.902
SET       0.239       99.907
SET       0.239       99.912
SET       0.239       99.917
SET       0.247       99.922
SET       0.255       99.927
SET       0.255       99.932
SET       0.263       99.937
SET       0.271       99.941
SET       0.279       99.946
SET       0.287       99.951
SET       0.303       99.954
SET       0.303       99.956
SET       0.311       99.958
SET       0.319       99.961
SET       0.335       99.963
SET       0.343       99.966
SET       0.367       99.968
SET       0.383       99.971
SET       0.399       99.973
SET       0.415       99.976
SET       0.431       99.977
SET       0.447       99.978
SET       0.447       99.979
SET       0.455       99.980
SET       0.471       99.982
SET       0.479       99.983
SET       0.503       99.984
SET       0.519       99.985
SET       0.527       99.987
SET       0.543       99.988
SET       0.551       99.988
SET       0.567       99.989
SET       0.575       99.990
SET       0.591       99.990
SET       0.599       99.991
SET       0.607       99.991
SET       0.639       99.992
SET       0.639       99.993
SET       0.647       99.993
SET       0.655       99.994
SET       0.663       99.994
SET       0.663       99.995
SET       0.663       99.995
SET       0.679       99.995
SET       0.679       99.995
SET       0.695       99.996
SET       0.711       99.996
SET       0.711       99.996
SET       0.719       99.997
SET       0.743       99.997
SET       0.751       99.997
SET       0.751       99.997
SET       0.751       99.997
SET       0.751       99.998
SET       0.775       99.998
SET       0.775       99.998
SET       0.775       99.998
SET       0.775       99.998
SET       0.807       99.998
SET       0.807       99.998
SET       0.831       99.999
SET       0.831       99.999
SET       0.831       99.999
SET       0.831       99.999
SET       0.839       99.999
SET       0.839       99.999
SET       0.839       99.999
SET       0.839       99.999
SET       0.943       99.999
SET       0.943       99.999
SET       0.943       99.999
SET       0.943       99.999
SET       0.943       99.999
SET       0.943       99.999
SET       1.695       99.999
SET       1.695       99.999
SET       1.695      100.000
SET       1.695      100.000
SET       1.695      100.000
SET       1.695      100.000
SET       1.695      100.000
SET       1.695      100.000
SET       1.695      100.000
SET       1.695      100.000
SET       1.703      100.000
SET       1.703      100.000
---
GET       0.015        0.000
GET       0.039        5.000
GET       0.039       10.000
GET       0.047       15.000
GET       0.047       20.000
